,cities,geocode
500,Nilópolis/RJ,3303203
501,Nova Veneza/GO,5215009
502,Novo Progresso/PA,1505031
503,Palhoça/SC,4211900
504,Paulista/PE,2610707
505,Porciúncula/RJ,3304102
506,Promissão/SP,3541604
507,Santo Antônio/RN,2411502
508,Sarandi/PR,4126256
509,Senador Canedo/GO,5220454
510,Serra Branca/PB,2515500
511,São Geraldo do Araguaia/PA,1507458
512,São José de Ribamar/MA,2111201
513,São Luís de Montes Belos/GO,5220108
514,Três Rios/RJ,3306008
515,Utinga/BA,2932804
516,Adustina/BA,2900355
517,Alta Floresta/MT,5100250
518,Botucatu/SP,3507506
519,Cachoeira/BA,2904902
520,Campo Novo do Parecis/MT,5102637
521,Carmo da Cachoeira/MG,3113909
522,Cedral/SP,3511300
523,Chopinzinho/PR,4105409
524,Dianópolis/TO,1707009
525,Gandu/BA,2911204
526,Guaraniaçu/PR,4109302
527,Guararapes/SP,3518206
528,Horizonte/CE,2305233
529,Ibema/PR,4109757
530,Itabaiana/SE,2802908
531,Itapetinga/BA,2916401
532,Itapira/SP,3522604
533,Itapiranga/SC,4208401
534,José Bonifácio/SP,3525706
535,Nanuque/MG,3144300
536,Nova Friburgo/RJ,3303401
537,Nova Mutum/MT,5106224
538,Oiapoque/AP,1600501
539,Orlândia/SP,3534302
540,Palmas/PR,4117602
541,Paraíba do Sul/RJ,3303708
542,Pariquera-Açu/SP,3536208
543,Patos de Minas/MG,3148004
544,Pedras Grandes/SC,4212403
545,Pinhão/PR,4119301
546,Rolândia/PR,4122404
547,Santa Branca/SP,3546009
548,Simões Filho/BA,2930709
549,Sombrio/SC,4217709
550,São Manuel/SP,3550100
551,Timon/MA,2112209
552,Uruçuca/BA,2932705
553,Varginha/MG,3170701
554,Aracati/CE,2301109
555,Areia Branca/RN,2401107
556,Arroio do Sal/RS,4301057
557,Balsa Nova/PR,4102307
558,Cariús/CE,2303303
559,Chapadão do Sul/MS,5002951
560,Esteio/RS,4307708
561,Ibirataia/BA,2912905
562,Iguatu/CE,2305506
563,Ipueiras/CE,2305902
564,Iranduba/AM,1301852
565,Itaperuna/RJ,3302205
566,Itapetininga/SP,3522307
567,Itarantim/BA,2916807
568,Janaúba/MG,3135100
569,Limoeiro do Norte/CE,2307601
570,Novo Oriente/CE,2309409
571,Ouriçangas/BA,2923308
572,Pacatuba/CE,2309706
573,Palmeiras/BA,2923506
574,Paracatu/MG,3147006
575,Paraisópolis/MG,3147303
576,Pedra Branca/CE,2310506
577,Pindoretama/CE,2310852
578,Piripá/BA,2924702
579,Quixeramobim/CE,2311405
580,Rolim de Moura/RO,1100288
581,Sananduva/RS,4316600
582,Santa Cruz do Sul/RS,4316808
583,Santa Fé/PR,4123402
584,Santa Maria da Vitória/BA,2928109
585,Santana/AP,1600600
586,Sarzedo/MG,3165537
587,Sertaneja/PR,4126405
588,São Domingos/SC,4216107
589,São Jorge/RS,4318440
590,São João da Barra/RJ,3305000
591,Taipu/RN,2413904
592,Tanguá/RJ,3305752
593,Tenente Ananias/RN,2414100
594,Terra Roxa/SP,3554409
595,Trajano de Moraes/RJ,3305901
596,Vilhena/RO,1100304
597,Amontada/CE,2300754
598,Aripuanã/MT,5101407
599,Bandeirantes/PR,4102406
600,Barra do Choça/BA,2902906
601,Birigui/SP,3506508
602,Boituva/SP,3507001
603,Cachoeirinha/PE,2603108
604,Cajapió/MA,2102408
605,Cambuí/MG,3110608
606,Cametá/PA,1502103
607,Campo Formoso/BA,2906006
608,Canarana/MT,5102702
609,Caraguatatuba/SP,3510500
610,Catarina/CE,2303600
611,Centralina/MG,3115805
612,Crateús/CE,2304103
613,Croatá/CE,2304236
614,Cáceres/MT,5102504
615,Divinésia/MG,3121902
616,Formiga/MG,3126109
617,Frutal/MG,3127107
618,Guaraciaba do Norte/CE,2305001
619,Ibiraçu/ES,3202504
620,Ibotirama/BA,2913200
621,Ilha Comprida/SP,3520426
622,Jeceaba/MG,3135407
623,Lagoa do Carro/PE,2608453
624,Lavras da Mangabeira/CE,2307502
625,Machado/MG,3139003
626,Matozinhos/MG,3141108
627,Minas do Leão/RS,4312252
628,Mirassol/SP,3530300
629,Montes Claros/MG,3143302
630,Ouro Fino/MG,3146008
631,Palmeira dos Índios/AL,2706307
632,Paudalho/PE,2610608
633,Piracuruca/PI,2208304
634,Plácido de Castro/AC,1200385
635,Presidente Venceslau/SP,3541505
636,Primeiro de Maio/PR,4120507
637,Santa Cruz do Rio Pardo/SP,3546405
638,Santana do Acaraú/CE,2312007
639,Santo Amaro da Imperatriz/SC,4215703
640,Senador Amaral/MG,3165578
641,Senador Pompeu/CE,2312700
642,São Carlos/SP,3548906
643,São Francisco do Conde/BA,2929206
644,São José dos Quatro Marcos/MT,5107107
645,São Lourenço do Sul/RS,4318804
646,Tabaí/RS,4320859
647,Timbó/SC,4218202
648,Ubá/MG,3169901
649,União do Sul/MT,5108303
650,Videira/SC,4219309
651,Águas Mornas/SC,4200606
652,Alto Alegre/RR,1400050
653,Anita Garibaldi/SC,4201000
654,Araras/SP,3503307
655,Barretos/SP,3505500
