,covid_cases_geocode
721,5203302
722,1200138
723,3113305
724,3508504
725,2103505
726,2908408
727,2910701
728,4205456
729,4309050
730,5208509
731,5209101
732,2911501
733,5209200
734,3518305
735,1709500
736,2305357
737,2105104
738,3131158
739,2915106
740,2306207
741,2916856
742,4111506
743,3524402
744,3524808
745,3525508
746,5105234
747,3526407
748,1302702
749,3530508
750,2308500
751,5213756
752,3533908
753,1100155
754,2804904
755,2610509
756,3538105
757,5217401
758,1303536
759,3541406
760,3304508
761,2930501
762,3551702
763,4215802
764,3162906
765,4125001
766,1304062
767,3553401
768,4217907
769,4127700
770,2112605
771,4322509
772,3171006
773,3205069
774,2600054
775,5201207
776,3503802
777,4201901
778,4212809
779,4202107
780,3505401
781,4302402
782,3108305
783,4103909
784,3301108
785,2603801
786,2604007
787,4203006
788,4305454
789,4204251
790,3514809
791,2605806
792,2606002
793,4205704
794,4206504
795,3518404
796,3133105
797,2916302
798,3522406
799,3523503
800,2917300
801,3524501
802,2608107
803,3136207
804,2608909
805,4114500
806,4210605
807,4312401
808,3140159
809,4211702
810,3303807
811,3147105
812,3303856
813,2611309
814,4215000
815,2928059
816,3158003
817,3305703
818,3549102
819,2932309
820,4219200
821,2314003
822,3502903
823,1100023
824,2602100
825,3300605
826,2102374
827,3300803
828,2905602
829,2906808
830,2102705
831,2103208
832,2304202
833,3513504
834,2305605
835,2607208
836,3132404
837,3133501
838,3302254
839,2917607
840,4115507
841,1302900
842,4211504
843,3534708
844,4117503
845,3303609
846,3536802
847,3151206
848,3540705
849,5218391
850,2311504
851,2926905
852,2311801
853,3545803
854,4320107
855,2312809
856,2613909
857,2613107
858,3304755
859,3204708
860,3163706
861,2312601
862,3550209
863,2313104
864,1304203
865,3555000
866,2112803
867,3500600
868,1500206
869,3501905
870,3501707
871,3502754
872,2302057
873,1501907
874,3508900
875,3110707
876,2906873
877,1301100
878,1703867
879,3117306
880,2403301
881,4306908
882,3125903
883,2304350
884,2605905
885,3129806
886,3519402
887,3131505
888,2306553
889,3134202
890,3134608
891,2919553
892,3143104
893,1400456
894,5006309
895,1716109
896,1506112
897,2611507
898,5218607
899,4215505
900,2612505
901,2411205
902,3546900
903,2614105
904,2613008
905,3160900
906,3162104
907,3204807
908,1507607
909,2615409
910,2615508
911,2933208
912,2112902
913,3100203
914,3200300
915,2100402
916,3108107
917,3111606
918,2402204
919,2103000
920,2402709
921,2604502
922,3124302
923,2606101
924,4310330
925,5210604
926,4208500
927,4113007
928,2406304
929,2609105
930,3140308
931,2106805
932,5005707
933,5214507
934,3145208
935,2309607
936,3149903
937,3151107
938,3304003
939,5217302
940,3204500
941,4123956
942,2110203
943,2515302
944,3305505
945,2930154
946,3304805
947,2613404
948,5221601
949,4322806
950,2114007
951,2900108
952,2400109
953,2300309
954,4300208
955,4101408
956,2601052
957,2601904
958,3509700
959,2906303
960,1502202
961,4203956
962,2202505
963,1502707
964,5003306
965,1200203
966,2403103
967,4307500
968,5208004
969,3516705
970,2606408
971,2304657
972,3520202
973,4207700
974,2916203
975,4112702
976,2608701
977,3528007
978,5216403
979,2409407
980,2208106
981,4315701
982,4214805
983,1506203
984,4317905
985,4321451
986,2313500
987,3555406
988,4322608
989,1300086
990,3104007
991,3300233
992,3505203
993,2301950
994,2903904
995,1501709
996,3509403
997,1502152
998,2302909
999,2603900
1000,3115300
1001,2604403
1002,3512308
1003,2402907
1004,5207535
1005,2911006
1006,5208806
1007,3127388
1008,2104677
1009,3128303
1010,3203106
1011,3526704
1012,3527108
1013,1302405
1014,3528403
1015,3140803
1016,1600402
1017,3531100
1018,5213806
1019,3532603
1020,1504976
1021,2310209
1022,3147907
1023,3537909
1024,3540200
1025,5106752
1026,1600535
1027,3543709
1028,1506187
1029,1506351
1030,4123303
1031,3204559
1032,2928505
1033,4124004
1034,2708907
1035,4124905
1036,2500700
1037,2412559
1038,2210607
1039,3165107
1040,2516508
1041,1508084
1042,4127957
1043,2932507
1044,1600808
1045,3556503
1046,1505106
1047,3101706
1048,2200400
1049,3502101
1050,3502705
1051,2301208
1052,5201801
1053,3300225
1054,4101903
1055,2302107
1056,3106101
1057,3506409
1058,2701001
1059,3201100
1060,2201929
1061,3508108
1062,1502004
1063,2302602
1064,4304200
1065,1502301
1066,3510203
1067,3300936
1068,2303006
1069,4305306
1070,5103361
1071,3513405
1072,1502806
1073,2910727
1074,3515509
1075,2304707
1076,3520103
1077,2914604
1078,2307403
1079,1503903
1080,1600279
1081,3527207
1082,1504406
1083,2308005
1084,3302809
1085,3530805
1086,1504802
1087,3531803
1088,3531902
1089,3532009
1090,1504901
1091,2309102
1092,4312674
1093,2804805
1094,2923605
1095,3536703
1096,2208007
1097,3539400
1098,3541059
1099,3304151
1100,2311264
1101,2311603
1102,2611804
1103,3543808
1104,2707701
1105,2311959
1106,4215653
1107,5219753
1108,3305604
1109,2806701
1110,2931202
1111,2313302
1112,4321469
1113,1721208
1114,2615706
1115,2933000
1116,1508209
1117,3205176
1118,2900603
1119,3500758
1120,2600906
1121,2901106
1122,3200409
1123,4201273
1124,4201505
1125,2101202
1126,2101251
1127,2401503
1128,3201159
1129,2904704
1130,1100452
1131,3509601
1132,1301001
1133,3511003
1134,4204301
1135,2605004
1136,2909901
1137,2203305
1138,3514502
1139,2605202
1140,3515400
1141,2605400
1142,4308201
1143,4108908
1144,2204709
1145,2404705
1146,2803005
1147,2105401
1148,3133808
1149,3203130
1150,2803500
1151,3138401
1152,4209854
1153,5005608
1154,1400308
1155,3145307
1156,3204054
1157,3538600
1158,2512101
1159,2311108
1160,4213708
1161,3204302
1162,1506104
1163,2311702
1164,3204401
1165,1400472
1166,3546702
1167,4124202
1168,2413300
1169,2614501
1170,2312403
1171,3549409
1172,3553104
1173,2112233
1174,2709301
1175,2300200
1176,1500305
1177,3503109
1178,2101707
1179,2302305
1180,2201919
1181,3110004
1182,3110509
1183,5205000
1184,5205406
1185,2303956
1186,1301209
1187,3118304
1188,3119302
1189,2203701
1190,2204006
1191,2304954
1192,4109203
1193,3128709
1194,2305266
1195,3520442
1196,4207106
1197,3132206
1198,4208104
1199,2306504
1200,2405009
1201,3526209
1202,2608503
1203,2205706
1204,4210803
1205,3529807
1206,2106755
1207,3142908
1208,2107100
1209,5005681
1210,3143807
1211,4312609
1212,2309508
1213,3536570
1214,4212502
1215,2610905
1216,2410108
1217,3542206
1218,3542602
1219,2611903
1220,2612406
1221,3547908
1222,2513901
1223,2613602
1224,2210201
1225,1400605
1226,2412500
1227,3164704
1228,2613800
1229,2414407
1230,2112308
1231,2313559
1232,2932903
1233,2112704
1234,2616209
1235,2300150
1236,2100204
1237,4100608
1238,1100403
1239,2400703
1240,3502200
1241,2200608
1242,3502507
1243,2700300
1244,2101004
1245,3504305
1246,2401453
1247,5101803
1248,2401602
1249,2602308
1250,3509908
1251,2907301
1252,4204004
1253,2504702
1254,2908903
1255,2304004
1256,2103703
1257,4107207
1258,3124203
1259,2304905
1260,2911709
1261,4309951
1262,3520301
1263,4110078
1264,2802809
1265,5104526
1266,2803203
1267,4111902
1268,2307007
1269,2105658
1270,3526001
1271,5005202
1272,2106508
1273,2921450
1274,5105622
1275,4116208
1276,3144508
1277,4117107
1278,5006275
1279,3537800
1280,3303955
1281,3540408
1282,2512507
1283,2208874
1284,2109601
1285,4123709
1286,1303601
1287,3160702
1288,5007802
1289,3551504
1290,4320800
1291,2708709
1292,2412807
1293,3553807
1294,3553906
1295,3169406
1296,2211100
1297,2709400
1298,2600609
1299,2300507
